"CellType2" "CellType1" "CellType3" "CellType2" "CellType3" "CellType2" "CellType3" "CellType1" "CellType1" "CellType3" "CellType3" "CellType2" "CellType2" "CellType3" "CellType1" "CellType2" "CellType3" "CellType1" "CellType3" "CellType2" "CellType1" "CellType1" "CellType1" "CellType3" "CellType1" "CellType2" "CellType3" "CellType3" "CellType1" "CellType2" "CellType1" "CellType1" "CellType1" "CellType1" "CellType1" "CellType3" "CellType1" "CellType1" "CellType3" "CellType1" "CellType1" "CellType2" "CellType1" "CellType3" "CellType3" "CellType2" "CellType3" "CellType2" "CellType2" "CellType1"
"Gene126" 1 3 2 2 2 0 0 2 1 3 3 1 1 0 3 0 2 2 4 2 1 3 1 2 4 3 3 3 3 2 2 0 1 1 1 1 2 1 1 0 1 0 1 1 1 2 4 1 4 3
"Gene127" 0 1 2 2 2 2 5 3 2 3 1 1 0 3 3 3 1 2 6 1 4 2 2 1 0 5 1 2 0 2 0 0 3 0 2 2 3 1 2 1 3 3 3 1 2 1 1 1 2 1
"Gene128" 2 2 1 1 4 2 2 3 2 3 3 4 3 1 2 3 1 1 3 1 2 1 5 2 2 2 1 2 3 1 1 1 1 1 2 3 2 2 2 3 2 3 3 3 2 3 1 2 0 4
"Gene129" 4 3 1 2 3 2 2 2 3 2 0 4 3 0 4 3 1 2 0 1 4 1 1 0 4 2 2 2 1 2 2 1 3 4 1 3 0 3 1 2 4 1 2 1 3 1 4 1 2 4
"Gene130" 1 1 1 1 2 1 2 4 1 4 2 0 2 2 3 3 1 0 5 3 3 1 0 3 2 2 1 3 0 0 1 0 0 3 1 1 2 1 5 0 4 1 2 1 2 2 1 1 2 3
"Gene131" 2 3 0 2 1 1 3 1 1 0 0 1 5 1 2 2 1 2 2 4 2 0 4 3 5 2 0 2 2 4 0 2 1 1 5 1 5 1 3 0 1 3 2 0 2 3 3 2 4 2
"Gene132" 1 3 5 3 5 0 3 5 0 0 1 3 2 5 1 2 2 5 3 2 2 3 3 2 3 2 3 1 2 5 0 1 2 5 2 3 2 2 1 5 2 0 0 2 2 5 3 1 2 1
"Gene133" 2 2 0 3 1 2 2 1 1 2 4 1 2 3 4 2 4 1 2 0 4 2 0 4 1 2 1 1 0 2 2 3 5 2 2 0 3 0 4 4 1 1 3 1 1 3 1 3 3 2
"Gene134" 4 3 1 1 2 3 2 3 5 4 5 2 1 2 1 2 6 2 2 3 1 1 4 1 4 1 1 2 1 3 1 2 2 2 1 2 0 0 1 2 1 3 4 1 4 2 0 1 3 1
"Gene135" 1 1 2 1 2 2 7 1 4 1 0 1 3 2 1 6 0 3 1 0 0 0 2 1 3 2 3 2 2 2 0 1 2 2 2 1 2 2 1 1 1 2 1 1 1 1 4 1 1 2
"Gene136" 3 0 1 1 2 1 2 2 2 2 0 2 2 2 3 4 4 0 3 3 4 2 4 1 6 3 4 0 2 1 3 6 2 4 1 1 1 1 4 1 2 1 1 4 5 1 5 1 2 1
"Gene137" 2 1 0 1 2 1 1 2 1 0 2 2 3 3 1 2 2 1 2 2 2 0 1 0 3 5 1 1 2 2 1 0 2 0 3 2 3 3 1 1 2 1 3 2 4 4 2 3 1 2
"Gene138" 2 1 4 2 1 1 2 2 0 2 0 4 0 1 0 4 2 4 1 2 2 3 2 2 5 1 1 2 1 1 0 2 2 3 1 2 1 2 2 3 1 2 1 1 0 3 3 2 1 2
"Gene139" 1 3 3 1 3 1 3 0 3 3 1 1 5 3 4 2 1 2 2 0 7 2 2 2 3 2 2 0 1 4 4 2 2 2 1 3 1 1 1 0 2 3 5 4 2 2 2 2 3 5
"Gene140" 0 3 1 2 1 6 4 3 2 1 2 2 1 3 5 4 3 2 0 4 2 2 0 4 1 3 0 2 2 2 3 2 1 3 1 1 3 3 2 1 2 2 0 2 2 3 0 1 0 2
"Gene141" 0 2 1 2 1 1 0 2 3 4 3 0 2 1 3 3 4 2 2 3 1 2 1 3 3 4 2 2 2 1 1 3 0 0 2 2 2 1 0 3 4 2 3 1 3 2 1 0 3 3
"Gene142" 3 0 1 1 0 4 2 0 1 1 4 0 2 2 2 2 3 1 4 3 4 1 2 4 0 2 3 0 4 3 2 2 1 0 4 1 2 0 3 3 1 2 2 3 3 2 4 4 1 1
"Gene143" 2 1 4 2 1 1 2 2 1 3 4 1 0 5 4 5 2 1 3 0 0 7 3 2 0 1 2 4 0 2 3 2 2 2 3 2 1 1 0 0 0 1 2 2 1 1 1 1 3 4
"Gene144" 3 1 0 1 3 3 4 1 2 3 2 1 1 4 4 3 1 4 2 2 4 4 1 2 1 4 3 2 1 5 5 2 2 2 3 1 4 2 1 4 3 1 0 3 2 1 2 2 0 3
"Gene145" 1 2 2 1 4 3 2 3 0 2 2 0 1 0 4 2 1 4 1 2 0 6 3 6 2 3 2 4 2 4 4 3 1 2 1 2 5 2 1 3 4 1 2 3 2 1 2 1 1 2
"Gene146" 2 3 1 4 2 1 5 3 0 3 4 4 1 4 1 0 1 1 3 2 4 2 1 3 2 1 2 1 2 1 2 1 1 3 1 3 3 1 1 2 0 3 3 0 2 3 1 0 2 5
"Gene147" 0 6 3 1 1 3 3 2 1 1 2 3 2 2 4 1 4 1 0 4 0 4 4 1 4 3 2 4 1 1 1 1 1 1 0 5 3 2 1 0 1 0 3 3 2 0 3 2 3 0
"Gene148" 1 2 0 0 3 4 2 3 1 4 0 0 1 1 2 1 4 1 1 2 3 0 5 4 3 3 0 2 1 2 3 5 0 4 3 2 1 0 0 1 2 2 0 2 2 3 3 2 2 1
"Gene149" 1 2 1 1 4 1 2 2 2 1 1 0 4 2 3 3 1 3 5 3 1 0 2 2 1 2 1 1 2 2 1 1 4 1 4 1 1 1 2 3 2 4 2 2 0 0 3 2 2 4
"Gene150" 1 3 2 3 4 1 0 5 3 5 3 1 4 3 2 1 1 2 1 5 3 2 2 5 2 4 1 5 1 4 1 0 3 3 3 1 2 1 2 3 1 3 2 4 1 1 3 2 5 2
"Gene151" 1 1 3 2 2 0 1 1 4 3 0 0 2 2 3 1 2 2 0 1 1 1 3 3 2 1 2 4 2 2 0 2 1 3 4 2 0 2 2 2 0 0 1 1 1 5 1 2 6 1
"Gene152" 1 2 2 2 5 0 2 1 3 1 2 1 2 5 2 1 3 3 4 2 2 2 3 3 3 1 3 3 0 2 0 1 4 1 1 1 3 2 2 0 1 3 3 1 4 1 2 2 2 0
"Gene153" 1 3 2 2 1 3 0 3 2 3 1 3 0 4 1 3 1 5 4 1 2 0 4 2 0 3 3 4 0 1 2 0 3 4 1 3 5 3 0 2 0 0 2 1 8 0 0 3 1 2
"Gene154" 2 2 0 1 1 0 0 0 2 1 1 2 2 3 1 3 2 3 2 0 1 2 6 1 2 3 3 2 0 1 3 2 3 1 2 1 4 3 0 1 2 2 0 1 1 0 2 3 2 2
"Gene155" 2 1 2 3 1 0 2 4 0 2 2 1 3 0 4 2 2 4 1 6 4 1 4 2 2 4 1 5 1 3 3 2 1 0 2 2 3 2 3 0 1 1 7 1 2 2 1 5 4 0
"Gene156" 2 1 1 4 1 1 3 2 3 2 1 3 1 3 2 3 0 4 1 3 1 0 3 0 6 4 0 2 2 7 1 1 1 3 2 2 2 0 3 2 3 2 2 1 1 2 0 1 1 5
"Gene157" 1 3 4 2 2 1 5 3 1 1 2 3 2 1 2 3 3 1 2 3 3 5 2 2 1 0 2 3 4 1 0 3 2 0 1 0 4 4 2 0 0 0 1 2 1 0 1 2 3 0
"Gene158" 0 3 2 3 0 4 1 2 1 2 2 1 4 7 1 4 3 4 1 3 2 3 1 4 2 1 3 6 1 1 0 0 1 3 1 5 0 4 5 0 3 2 2 2 0 0 2 0 3 1
"Gene159" 2 3 3 1 2 2 2 1 2 2 0 0 3 2 0 3 3 4 1 2 3 0 2 1 2 2 1 2 4 3 2 2 2 0 3 0 0 1 2 3 2 2 4 2 4 2 2 0 2 2
"Gene160" 2 3 0 2 3 3 1 3 3 3 1 0 3 0 2 6 0 5 4 2 2 0 1 0 4 2 0 0 2 2 1 1 3 2 0 1 3 0 1 1 1 1 4 3 0 1 0 2 1 1
"Gene161" 2 3 4 2 5 2 2 3 0 3 0 3 2 1 3 3 0 1 1 0 1 1 3 1 0 1 0 0 1 4 2 1 1 0 2 2 1 3 0 1 2 1 1 3 0 3 2 4 1 2
"Gene162" 2 2 1 4 2 3 3 1 1 2 3 2 0 3 1 1 3 1 2 2 4 4 5 4 2 3 3 1 3 3 3 5 2 4 3 1 0 2 1 3 2 3 2 3 0 2 2 2 0 2
"Gene163" 3 4 3 1 3 4 2 3 2 1 2 2 0 5 1 2 0 1 1 4 0 2 2 3 3 0 4 6 5 1 4 2 3 1 2 2 3 0 0 4 2 0 5 1 2 0 2 2 2 3
"Gene164" 4 2 1 1 3 1 0 3 0 2 0 2 1 2 1 4 1 2 1 5 2 0 2 3 0 2 1 1 1 1 2 2 0 1 3 4 1 5 2 5 0 3 1 2 0 0 3 1 2 2
"Gene165" 1 3 1 3 0 2 2 2 3 2 0 1 1 4 1 4 2 0 2 4 2 2 1 2 2 2 0 0 2 2 3 1 3 3 0 4 2 3 0 2 3 2 4 2 1 4 4 2 3 1
"Gene166" 2 1 1 2 4 6 2 2 3 1 1 1 3 0 2 3 1 3 4 3 4 2 1 5 2 0 2 2 2 3 3 3 1 0 6 1 1 4 1 2 3 3 2 4 4 3 2 3 2 1
"Gene167" 2 6 0 2 3 1 4 1 3 5 1 2 1 5 1 4 2 4 2 1 1 1 3 1 3 2 3 2 1 1 1 3 4 1 3 1 2 2 2 3 3 1 0 0 3 0 2 3 4 4
"Gene168" 0 0 1 0 2 1 2 5 2 0 2 1 2 3 2 0 2 1 3 0 1 1 0 1 1 2 0 4 4 1 1 1 0 4 1 1 3 1 3 2 3 2 1 2 3 0 1 6 3 2
"Gene169" 1 4 1 1 3 3 1 1 1 3 2 3 6 4 2 5 0 2 0 2 4 0 3 2 2 1 1 1 2 1 3 5 0 0 0 5 0 2 4 1 5 3 1 3 3 1 2 2 3 4
"Gene170" 1 1 4 4 4 5 1 1 0 0 2 4 1 3 1 2 1 3 2 3 2 4 2 0 3 0 2 2 3 4 4 3 1 1 3 1 0 0 3 2 3 4 2 1 1 1 5 0 1 1
"Gene171" 1 1 1 3 3 0 1 3 1 2 1 1 2 2 0 1 2 3 5 3 2 2 3 3 4 4 1 3 2 5 2 2 2 2 1 2 2 1 2 3 2 3 0 1 4 2 4 2 3 1
"Gene172" 3 3 0 2 2 1 3 1 2 4 2 3 3 1 2 0 2 2 2 3 4 0 3 1 2 4 1 2 1 1 2 2 3 3 2 0 0 1 0 2 3 1 1 4 4 0 1 4 1 4
"Gene173" 1 1 2 0 3 2 3 4 0 2 0 1 1 1 4 1 0 3 4 1 5 1 0 2 0 5 2 5 5 5 1 3 2 2 3 2 4 2 2 4 1 1 0 2 6 1 4 5 1 2
"Gene174" 1 1 0 2 3 0 1 2 1 3 2 2 1 4 2 2 1 5 0 3 3 4 5 4 2 8 0 4 3 4 2 1 2 3 2 2 0 2 1 1 3 0 3 0 1 2 6 0 3 4
"Gene175" 2 2 0 1 2 1 2 1 0 3 0 2 1 3 2 3 2 0 1 0 2 4 1 1 3 1 2 2 1 3 1 0 2 1 1 2 4 5 0 4 3 1 4 2 3 1 1 2 2 7
"Gene176" 1 2 2 1 3 1 1 2 1 1 0 3 1 3 1 0 1 2 0 0 2 2 1 1 1 2 1 1 2 3 2 1 0 1 6 1 1 1 1 3 2 2 0 1 3 1 1 1 1 2
"Gene177" 0 1 1 1 0 1 2 4 1 1 1 3 1 0 3 4 3 4 1 2 0 3 0 1 2 2 4 1 1 2 1 0 7 3 1 2 2 1 1 2 3 2 0 1 1 1 1 1 1 2
"Gene178" 1 2 1 1 4 1 2 1 3 1 3 2 0 2 1 3 0 4 4 3 0 3 2 2 2 1 0 2 2 2 2 1 0 1 2 1 2 2 2 1 3 3 4 1 1 3 7 1 1 2
"Gene179" 0 1 3 2 2 3 3 1 2 0 1 0 2 1 4 3 0 2 2 0 2 4 2 1 1 4 1 2 2 1 1 2 1 2 1 0 3 2 5 2 2 0 2 1 3 4 1 1 1 2
"Gene180" 2 1 2 3 2 3 3 0 2 3 0 0 0 5 3 2 1 1 3 3 2 1 0 6 1 4 1 4 2 3 1 0 4 1 1 0 0 4 2 0 0 1 4 1 3 1 1 4 3 3
"Gene181" 0 6 2 6 4 0 5 1 0 1 0 1 0 5 3 3 1 4 3 2 2 0 3 2 6 5 4 1 2 2 3 0 4 3 2 0 0 3 4 1 1 5 2 3 1 1 0 1 1 1
"Gene182" 0 4 2 2 2 4 3 1 2 1 3 2 1 0 2 3 3 1 0 2 1 2 4 4 2 1 1 0 2 3 1 2 3 3 2 1 1 1 2 1 4 2 1 3 1 1 5 2 1 0
"Gene183" 0 1 5 4 2 1 2 1 1 2 1 3 2 3 1 2 2 2 1 4 4 1 0 3 1 2 2 3 4 3 5 3 2 2 0 1 2 2 2 2 3 0 2 1 6 1 2 1 0 1
"Gene184" 2 2 4 2 0 3 2 2 4 1 2 2 1 1 3 2 4 4 3 4 0 1 3 3 3 5 2 2 1 2 2 2 2 2 2 4 4 2 2 2 2 3 3 1 3 5 2 1 1 1
"Gene185" 0 5 2 4 3 3 3 4 1 7 1 1 2 1 0 1 2 3 0 1 3 1 3 1 1 2 2 2 1 4 1 4 1 4 0 1 1 2 4 1 1 0 4 1 0 2 2 1 1 1
"Gene186" 1 4 2 4 2 5 3 4 2 1 1 2 3 2 3 1 2 1 2 3 0 3 3 3 0 0 3 1 2 3 2 4 3 2 2 3 3 1 1 8 1 3 2 1 3 4 3 2 3 4
"Gene187" 2 1 1 0 2 1 1 0 1 3 3 2 4 0 1 3 5 1 5 2 4 3 3 2 1 2 3 1 1 2 7 3 4 3 2 1 0 0 1 0 0 2 5 1 3 0 3 2 1 6
"Gene188" 3 0 1 2 0 0 2 0 3 2 2 0 3 3 3 1 2 2 3 2 0 2 4 0 1 0 2 3 2 4 3 4 2 5 0 1 1 2 2 1 0 2 1 3 1 2 2 0 2 2
"Gene189" 4 0 0 0 2 0 4 1 1 2 0 0 3 1 0 3 1 1 1 0 1 3 2 0 1 3 3 3 2 0 4 5 2 1 3 1 1 0 4 5 2 3 0 3 3 1 1 1 1 2
"Gene190" 2 1 1 0 2 0 2 4 0 4 2 1 2 0 5 3 4 1 2 1 4 1 1 6 1 2 1 3 3 1 2 2 2 2 3 1 2 3 2 3 0 2 0 1 6 2 2 1 1 3
"Gene191" 5 1 4 0 2 0 1 3 1 3 0 3 2 1 3 2 3 0 1 4 0 2 1 3 4 1 1 0 2 5 3 3 3 4 4 1 3 3 2 1 1 3 3 5 4 1 1 0 1 1
"Gene192" 1 1 4 3 1 3 2 1 7 1 2 1 0 0 1 2 1 2 2 3 2 5 2 4 0 1 1 2 2 1 0 1 2 1 1 3 1 1 1 1 2 4 3 3 1 2 0 3 1 0
"Gene193" 0 2 2 2 2 1 3 0 2 2 1 0 3 1 4 3 2 0 1 2 2 1 0 4 3 1 0 0 3 1 2 2 1 2 1 2 2 2 3 1 2 2 2 2 4 2 1 2 0 4
"Gene194" 3 1 3 3 3 1 2 0 2 2 2 2 3 3 4 2 3 1 2 1 1 0 1 1 2 1 4 5 3 3 2 2 4 3 0 1 3 3 6 2 3 3 1 3 1 3 4 5 0 0
"Gene195" 0 1 4 1 1 4 2 1 2 3 3 1 2 2 4 0 1 3 3 2 1 0 2 2 2 1 3 0 2 2 5 0 2 2 2 2 1 1 1 0 4 1 1 4 1 6 0 2 3 2
"Gene196" 2 1 2 3 1 4 2 1 2 0 2 0 3 1 6 2 3 1 1 1 2 2 0 3 1 3 1 4 0 3 3 0 2 0 2 1 1 0 1 2 6 0 5 1 3 1 1 1 0 3
"Gene197" 2 0 2 3 1 2 2 1 0 1 2 4 1 1 4 1 2 5 2 1 1 2 7 3 0 4 1 5 4 1 3 1 2 0 3 2 0 2 0 1 5 1 1 2 3 3 1 2 3 1
"Gene198" 3 2 0 2 1 4 3 2 1 0 0 4 0 1 4 1 2 3 1 2 1 3 1 1 3 2 2 1 2 2 1 0 3 1 3 2 2 3 0 1 1 3 1 3 4 1 6 2 2 6
"Gene199" 1 1 4 1 3 0 3 0 1 1 2 1 1 3 2 2 1 3 2 1 0 0 1 1 4 0 2 1 0 2 1 1 0 2 2 3 4 3 2 2 1 2 2 5 3 6 1 5 1 2
"Gene200" 1 3 2 0 0 1 2 3 2 2 1 2 2 2 6 6 2 2 2 2 3 0 2 3 1 1 1 3 1 1 4 3 3 2 2 3 1 0 3 0 4 2 2 0 0 2 3 4 1 1
